Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5fQBa4wkmq28xpSLOQ202K,"Normal Girl","Ctrl","SZA",2017-06-09,253590,76,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.624,0.532,0,-7.146,1,0.124,0.269,0.0000517,0.158,0.362,76.453,4
spotify:track:3dl8bSF08LQfCf4T6CCksf,"On That Time","Whole Lotta Red","Playboi Carti",2020-12-25,102421,66,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.598,0.476,0,-3.673,1,0.0333,0.00584,0,0.265,0.0545,150.078,4
spotify:track:7vRfxLcDDwgYW2WTrtEgUV,"The Next Best American Record","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,349347,61,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.569,0.354,2,-9.862,1,0.0315,0.616,0.0000275,0.112,0.118,108.083,4
spotify:track:0VF7YLIxSQKyNiFL3X6MmN,"Stargazing","Chip Chrome & The Mono-Tones (Deluxe)","The Neighbourhood",2020-12-11,217026,70,false,,1970-01-01T00:00:00Z,"","Columbia",0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,4
spotify:track:292eqQLvykPgiJf53mH8fz,"NITROUS","Nectar","Joji",2020-09-24,131718,57,false,,1970-01-01T00:00:00Z,"","88rising Music",0.826,0.549,0,-8.188,0,0.0344,0.558,0.68,0.123,0.378,127.995,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,97,false,,1970-01-01T00:00:00Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:761QvVHTibYjEi2r6A4g4Q,"Get Free","Lust For Life","Lana Del Rey",2017-07-21,334294,68,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.205,0.472,10,-10.45,1,0.0718,0.498,0.000792,0.0953,0.0392,203.944,4
spotify:track:2vgUijXOTRMnWXDtvgMp2b,"Take My Breath","Dawn FM","The Weeknd",2022-01-06,339023,72,false,,1970-01-01T00:00:00Z,"","XO / Republic Records",0.698,0.769,8,-7.154,1,0.0368,0.0128,0.00166,0.238,0.354,121.02,4
spotify:track:4VQH4VluDUOsOuDxccTeyN,"Sanctuary","Nectar","Joji",2020-09-24,180018,78,false,,1970-01-01T00:00:00Z,"","88rising Music",0.551,0.639,1,-7.475,1,0.123,0.394,0.000141,0.373,0.326,167.809,4
spotify:track:7aely3H8kMj9o0gt6vXHE1,"Die For You (feat. Dominic Fike)","Justice","Justin Bieber;Dominic Fike",2021-03-19,198425,62,false,,1970-01-01T00:00:00Z,"","RBMG/Def Jam",0.728,0.629,1,-6.629,1,0.0318,0.00196,0.00000194,0.0847,0.71,135.031,4
spotify:track:4fdalZcclcvcx5N1lytlNL,"Million Dollar Man","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,230120,59,false,,1970-01-01T00:00:00Z,"","Urban",0.201,0.589,3,-5.97,0,0.0458,0.502,0,0.0663,0.55,197.847,3
spotify:track:4pHy0gmjfpD0Fgond5c4Ta,"Miles","Ctrl (Deluxe)","SZA",2022-06-09,69728,58,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.64,0.356,7,-11.563,1,0.0612,0.965,0.000214,0.109,0.574,122.531,5
spotify:track:1BM5gvK1PYPahpGPbcKM9F,"Upgrade","Nectar","Joji",2020-09-24,89917,53,false,,1970-01-01T00:00:00Z,"","88rising Music",0.677,0.421,3,-11.452,1,0.0947,0.9,0.032,0.137,0.555,159.846,4
spotify:track:0uI7yAKUf52Cn7y3sYyjiX,"3 Nights","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,177666,79,false,,1970-01-01T00:00:00Z,"","Columbia",0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
spotify:track:5gDWsRxpJ2lZAffh5p7K0w,"Stargirl Interlude","Starboy","The Weeknd;Lana Del Rey",2016-11-24,111626,79,false,,1970-01-01T00:00:00Z,"","The Weeknd/Lyric",0.715,0.47,5,-12.638,0,0.0772,0.353,0.0923,0.104,0.426,89.965,4
spotify:track:5yvhdo8FXbBsIllxv2Rr94,"Prom","Ctrl","SZA",2017-06-09,196120,70,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.805,0.702,1,-4.877,1,0.0887,0.0639,0,0.123,0.225,120.048,4
spotify:track:5XDNLG1uf1GuxVvLfGRhqO,"Pretty Boy (feat. Lil Yachty)","Nectar","Joji;Lil Yachty",2020-09-25,156759,60,true,,1970-01-01T00:00:00Z,"","88rising Music",0.657,0.775,6,-6.184,1,0.0679,0.161,0.316,0.372,0.644,156.044,4
spotify:track:1xLs8Mu1QEVbGCpyHQ2r2U,"Why","What Could Possibly Go Wrong","Dominic Fike",2020-07-31,139906,72,true,,1970-01-01T00:00:00Z,"","Columbia",0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,4
spotify:track:6ERZ30cRjVWGtVLhczX9aL,"The greatest","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,300360,65,true,,1970-01-01T00:00:00Z,"","Polydor Records",0.443,0.226,2,-12.507,0,0.0359,0.939,0.0201,0.14,0.196,79.142,3
spotify:track:4MXhiYIRDMGAuvZc5IFTwC,"ASTROTHUNDER","ASTROWORLD","Travis Scott",2018-08-03,142969,77,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.7,0.46,4,-8.111,0,0.0661,0.142,0.0000481,0.111,0.286,151.901,4
spotify:track:4ibyZ16uJCwcKfxiitL25q,"Murder She Wrote","Aggcess Granted","Tay-K",2017-06-27,126344,57,true,,1970-01-01T00:00:00Z,"","SLO Productions",0.706,0.725,8,-7.989,1,0.291,0.153,0,0.309,0.746,146.832,4
spotify:track:4G9hlKVIwuWE8qpW2UQpV3,"Afterthought","Nectar","Joji;BENEE",2020-09-24,194871,70,false,,1970-01-01T00:00:00Z,"","88rising Music",0.609,0.546,1,-8.025,1,0.0352,0.398,0.0841,0.093,0.19,83.5,4
spotify:track:2mdEsXPu8ZmkHRRtAdC09e,"Cinnamon Girl","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,300683,90,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,5
spotify:track:2xZ0zfuDTv5LxLhEgD82PG,"Awkward","Ctrl (Deluxe)","SZA",2022-06-09,178000,72,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.618,0.474,5,-12.097,1,0.0789,0.182,0.000122,0.108,0.397,119.999,4
spotify:track:2vdposMtmLoanI0pflut4F,"Circus","Still Over It","Summer Walker",2021-11-05,132972,48,true,,1970-01-01T00:00:00Z,"r&b","LVRN/Interscope Records",0.506,0.601,0,-8.647,0,0.0975,0.638,0,0.129,0.648,74.111,4
spotify:track:2AT8iROs4FQueDv2c8q2KE,"R U Mine?","AM","Arctic Monkeys",2013-09-09,201726,83,false,,1970-01-01T00:00:00Z,"indie,garage rock","Domino Recording Co",0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,4
spotify:track:0fB77VOZ2FkQeKLv1DuEwp,"hope is a dangerous thing for a woman like me to have - but I have it","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,324498,64,true,,1970-01-01T00:00:00Z,"","Polydor Records",0.49,0.104,4,-13.208,0,0.0635,0.964,0,0.162,0.278,86.675,4
spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,"Die For You","Starboy","The Weeknd",2016-11-25,260252,80,false,,1970-01-01T00:00:00Z,"","The Weeknd/Lyric",0.586,0.525,1,-7.163,0,0.0616,0.111,0,0.134,0.507,133.63,4
spotify:track:5n4FTCMefvyKUjeWumdaWv,"Miss The Rage","Trip At Knight","Trippie Redd;Playboi Carti",2021-08-21,236883,76,true,,1970-01-01T00:00:00Z,"melodic rap,rage rap","1400 Entertainment, Inc. / 10K Projects",0.581,0.877,8,-4.938,1,0.114,0.0151,0,0.826,0.353,77.006,4
spotify:track:0pSqYDTjY1Xt86usTQslAx,"Who","~how i'm feeling~","Lauv;BTS",2020-03-06,180413,70,false,,1970-01-01T00:00:00Z,"k-pop","Lauv",0.632,0.337,11,-8,0,0.033,0.558,0,0.104,0.0982,141.701,3
spotify:track:0Oqc0kKFsQ6MhFOLBNZIGX,"Doin' Time","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,202192,79,true,,1970-01-01T00:00:00Z,"","Polydor Records",0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,4
spotify:track:7mFj0LlWtEJaEigguaWqYh,"Sweetest Pie","Sweetest Pie","Megan Thee Stallion;Dua Lipa",2022-03-11,201334,68,true,,1970-01-01T00:00:00Z,"pop","300 Entertainment",0.814,0.628,7,-7.178,1,0.221,0.167,0,0.101,0.677,123.977,4
spotify:track:081Shn2hU3YxvQmGaCPegr,"Unloyal (with Ari Lennox)","Still Over It","Summer Walker;Ari Lennox",2021-11-05,207294,61,true,,1970-01-01T00:00:00Z,"r&b,alternative r&b,neo soul","LVRN/Interscope Records",0.805,0.51,4,-6.179,0,0.0569,0.0357,0.000469,0.108,0.36,127.983,4
spotify:track:2BJSMvOGABRxokHKB0OI8i,"Shoota (feat. Lil Uzi Vert)","Die Lit","Playboi Carti;Lil Uzi Vert",2018-05-11,153800,77,true,,1970-01-01T00:00:00Z,"rage rap,melodic rap","AWGE Label",0.673,0.649,1,-8.433,0,0.196,0.188,0,0.122,0.47,153.075,4
spotify:track:0vfPEfQk0ZCHExTZ007Ryr,"Guns And Roses","Ultraviolence (Deluxe)","Lana Del Rey",2014-01-01,270640,61,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.533,0.666,8,-8.957,0,0.0448,0.3,0.00862,0.115,0.343,108.928,4
spotify:track:0eF8TYM3rYzdS26URcs4U6,"Gimme Love","Nectar","Joji",2020-09-24,214557,70,false,,1970-01-01T00:00:00Z,"","88rising Music",0.486,0.632,5,-6.923,1,0.0922,0.689,0.025,0.206,0.0703,126.348,3
spotify:track:1De7cOMrdUnVpjWBaowMg4,"Ex For A Reason (with JT from City Girls)","Still Over It","Summer Walker;JT;City Girls",2021-11-05,225502,63,true,,1970-01-01T00:00:00Z,"r&b","LVRN/Interscope Records",0.726,0.728,11,-5.775,0,0.0408,0.239,0,0.177,0.566,115.047,4
spotify:track:4txKMpsSfZRV6durPuHVq0,"New Tank","Whole Lotta Red","Playboi Carti",2020-12-25,89741,69,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.819,0.638,10,-4.831,0,0.226,0.031,0.000116,0.152,0.167,150.993,4
spotify:track:1Ym6aMuT5bliaZMC67AmPp,"Cherry","Lust For Life","Lana Del Rey",2017-07-21,180902,74,true,,1970-01-01T00:00:00Z,"","Polydor Records",0.449,0.534,8,-9.493,0,0.0494,0.048,0.0011,0.384,0.342,94.261,3
spotify:track:7gRFDGEzF9UkBV233yv2dc,"Shut Down","BORN PINK","BLACKPINK",2022-09-15,175889,73,false,,1970-01-01T00:00:00Z,"k-pop","YG Entertainment/Interscope Records",0.814,0.704,0,-5.146,1,0.036,0.00291,0,0.182,0.621,110.056,3
spotify:track:0XiPx28hrT0Ls6iVLkSzzk,"Never Stop Me","I NEVER DIE","i-dle",2022-03-14,144240,48,false,,1970-01-01T00:00:00Z,"k-pop","Cube Entertainment",0.665,0.915,2,-2.535,1,0.136,0.0364,0,0.324,0.575,149.936,4
spotify:track:3vySEUpD0tc801F2WZDLYw,"Freaky Deaky","Freaky Deaky","Tyga;Doja Cat",2022-02-25,215281,62,true,,1970-01-01T00:00:00Z,"","Kemosabe / RCA Records / Last Kings Music / EMPIRE",0.799,0.653,2,-5.453,0,0.037,0.019,0,0.0935,0.236,104.019,4
spotify:track:7nns9KjsadA1Cx7as2eGNG,"God Bless America - And All The Beautiful Women In It","Lust For Life","Lana Del Rey",2017-07-21,276437,55,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.374,0.697,9,-6.544,1,0.0637,0.411,0.211,0.122,0.244,87.96,4
spotify:track:6a4GH1gljLL7VvmO9u5O92,"Don’t Break My Heart","Dawn FM","The Weeknd",2022-01-06,205469,61,false,,1970-01-01T00:00:00Z,"","XO / Republic Records",0.767,0.618,10,-7.163,1,0.032,0.31,0,0.179,0.243,121.959,4
spotify:track:51Zw1cKDgkad0CXv23HCMU,"Daylight","Harry's House","Harry Styles",2022-05-20,164533,74,false,,1970-01-01T00:00:00Z,"","Columbia",0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,3
spotify:track:0TrtQY1GaxehOsttX2x3gF,"Normal People (feat. rei brown)","Nectar","Joji;rei brown",2020-09-24,166883,56,false,,1970-01-01T00:00:00Z,"","88rising Music",0.685,0.679,10,-9.437,1,0.0479,0.388,0.744,0.0989,0.651,173.085,4
spotify:track:3WIifw9lqdgSZpt9renBAg,"Yosemite","Chemtrails Over The Country Club","Lana Del Rey",2021-03-19,306205,58,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.584,0.283,9,-12.893,0,0.0309,0.901,0.0332,0.127,0.278,106.068,4
