Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5UBfLYnkImP1RKMMy4TGs8,"Stateside","Fancy That","PinkPantheress",2025-05-09,168040,76,false,,1970-01-01T00:00:00Z,"bedroom pop","Warner Records",0.68,0.896,10,-5.343,0,0.0455,0.172,0.00741,0.134,0.624,123.419,4
spotify:track:0z3YYobsavHguLTgqg5GC1,"Picture in My Mind","Picture in my mind","PinkPantheress;Sam Gellaitry",2022-08-10,176930,66,false,,1970-01-01T00:00:00Z,"bedroom pop","Warner Records",0.73,0.645,2,-6.506,0,0.348,0.587,0,0.0937,0.772,128.519,4
spotify:track:12VH4g5pTMZmrUVzfJq7F7,"M a k e I t T o T h e M o r n i n g","PARTYNEXTDOOR 4 (P4)","PARTYNEXTDOOR",2024-04-26,168453,83,true,,1970-01-01T00:00:00Z,"dark r&b,r&b,trap soul","OVO Sound",0.677,0.622,4,-5.901,0,0.0287,0.0831,0.00749,0.154,0.0903,122.738,4
spotify:track:4wTvw1dBiPXNiHTh0zzpcI,"B2b","BRAT","Charli xcx",2024-06-07,178579,75,false,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records",0.769,0.771,1,-3.12,1,0.0436,0.000783,0.671,0.0537,0.37,116.027,3
spotify:track:7eCVm5KcpFrDhx6XHkF3t6,"Love Me 4 Me","SOS Deluxe: LANA","SZA",2024-12-20,185749,56,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.61,0.576,11,-10.319,0,0.0319,0.339,0.00128,0.181,0.592,147.957,4
spotify:track:5Se32hEA9raeboZerywxka,"You Broke My Heart","For All The Dogs Scary Hours Edition","Drake",2023-11-17,230709,76,true,,1970-01-01T00:00:00Z,"rap","OVO/Republic",0.465,0.7,10,-5.163,0,0.0893,0.203,0,0.299,0.276,120.854,4
spotify:track:29sbEEB0w4aAY3FofzzEjy,"GLOCK","HARDSTONE PSYCHO","Don Toliver",2024-06-14,228560,61,true,,1970-01-01T00:00:00Z,"","Cactus Jack / Atlantic",0.61,0.619,4,-6.928,1,0.0613,0.0997,0,0.444,0.277,76.006,4
spotify:track:21B4gaTWnTkuSh77iWEXdS,"Juno","Short n' Sweet","Sabrina Carpenter",2024-08-23,223192,83,true,,1970-01-01T00:00:00Z,"pop","Island Records",0.633,0.725,5,-4.257,1,0.0427,0.0461,0,0.205,0.64,130.504,4
spotify:track:0qpdzfTxAkOREtvvGO5oew,"Chill Baby","SOS Deluxe: LANA","SZA",2024-12-20,140637,63,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.376,0.441,0,-10.82,0,0.0629,0.497,0.0826,0.125,0.174,173.364,3
spotify:track:08M5qLQy0oUNrTMQv4xQac,"MUTT (feat. Chris Brown) [CB REMIX]","MUTT Deluxe: HEEL","Leon Thomas;Chris Brown",2025-05-29,199492,73,false,,1970-01-01T00:00:00Z,"r&b","EZMNY Records/Motown Records",0.675,0.569,1,-4.951,1,0.0356,0.109,0,0.0554,0.619,89.987,4
spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"luther (with sza)","GNX","Kendrick Lamar;SZA",2024-11-21,177598,86,false,,1970-01-01T00:00:00Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
spotify:track:1De7cOMrdUnVpjWBaowMg4,"Ex For A Reason (with JT from City Girls)","Still Over It","Summer Walker;JT;City Girls",2021-11-05,225502,63,true,,1970-01-01T00:00:00Z,"r&b","LVRN/Interscope Records",0.726,0.728,11,-5.775,0,0.0408,0.239,0,0.177,0.566,115.047,4
spotify:track:7y6RcmZyMDZ49yVupz7JdO,"DUMBO","JACKBOYS 2","Travis Scott",2025-07-11,238249,65,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.786,0.692,0,-4.34,0,0.0369,0.0243,0.156,0.0829,0.292,137.008,4
spotify:track:2vdposMtmLoanI0pflut4F,"Circus","Still Over It","Summer Walker",2021-11-05,132972,48,true,,1970-01-01T00:00:00Z,"r&b","LVRN/Interscope Records",0.506,0.601,0,-8.647,0,0.0975,0.638,0,0.129,0.648,74.111,4
spotify:track:0scd3nh27AYTNXo0KHRmsG,"Move (feat. Camila Cabello & Malachiii)","Move (feat. Camila Cabello & Malachiii)","Stryv;Camila Cabello;Malachiii;Adam Port;Keinemusik;Orso",2024-10-11,180236,73,false,,1970-01-01T00:00:00Z,"afro house,house,afro tech,melodic house","Keinemusik under exclusive license to Interscope Records",0.74,0.775,8,-7.626,0,0.0369,0.277,0.0073,0.0904,0.824,120.04,4
spotify:track:3bdSZEgKApb7vGxDxyrpdO,"warm","eternal sunshine deluxe: brighter days ahead (a cappella version)","Ariana Grande",2025-03-27,201905,62,false,,1970-01-01T00:00:00Z,"pop","Republic Records",0.734,0.778,8,-6.487,1,0.0692,0.156,0.0000222,0.105,0.488,122.037,4
spotify:track:5hTl2uxJGd1sbLtovguuuk,"Stars Align (with Drake)","Wildest Dreams","Majid Jordan;Drake",2021-10-22,260519,69,false,,1970-01-01T00:00:00Z,"rap","OVO Sound",0.763,0.667,2,-6.285,1,0.085,0.021,0.000024,0.0715,0.75,95.864,4
spotify:track:6wsqVwoiVH2kde4k4KKAFU,"I KNOW ?","UTOPIA","Travis Scott",2023-07-28,211582,80,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack/Epic",0.927,0.619,5,-4.441,0,0.0539,0.0186,0,0.104,0.817,117.995,4
spotify:track:7srqyRb5plksW5k65itXDB,"Girl, so confusing featuring lorde","Brat and it’s completely different but also still brat","Charli xcx;Lorde",2024-10-11,205938,76,false,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records",0.707,0.8,11,-5.567,0,0.0544,0.128,0.0000259,0.3,0.354,124.991,4
spotify:track:040I32EKLxQrkuxQu1pqvT,"Saturn","SOS Deluxe: LANA","SZA",2024-12-20,186191,80,false,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.557,0.577,1,-7.514,1,0.027,0.64,0,0.104,0.328,89.111,4
spotify:track:6rPPngIRwwQYUwuv048TKe,"Snap My Finger (feat. PinkPantheress)","TIMELESS","KAYTRANADA;PinkPantheress",2024-06-07,201371,46,true,,1970-01-01T00:00:00Z,"bedroom pop","KAYTRANADA/RCA Records",0.772,0.639,5,-7.876,0,0.0455,0.016,0.00975,0.431,0.497,117.99,4
spotify:track:4E0P1xs3JNmsNr5c5nFTZJ,"Back To Me","Back To Me","The Marías",2025-04-04,214800,80,false,,1970-01-01T00:00:00Z,"bedroom pop","Nice Life/Atlantic",0.456,0.488,9,-8.518,1,0.0275,0.469,0.0326,0.123,0.244,143.827,4
spotify:track:4qG7hWhljsqqENL5PaLA2z,"Let The Light In (feat. Father John Misty)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey;Father John Misty",2023-03-24,278126,78,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.335,0.44,9,-9.748,1,0.0275,0.385,0.00251,0.115,0.198,132.449,4
spotify:track:6cj79wCb9j6UZbB2WQq19P,"Cats on the Ceiling","Cats on the Ceiling","Ruel",2024-10-16,213080,50,false,,1970-01-01T00:00:00Z,"","Giant Music",0.597,0.853,7,-6.764,1,0.209,0.398,0.00000382,0.167,0.478,92.553,4
spotify:track:5fEB6ZmVkg63GZg9qO86jh,"Break from Toronto","PARTYNEXTDOOR","PARTYNEXTDOOR",2013-07-01,99213,83,true,,1970-01-01T00:00:00Z,"dark r&b,r&b,trap soul","OVO Sound",0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067,4
spotify:track:6XmT8fIEfcS3ZSVEz00U7m,"Neo Surf","Neo Surf","GENER8ION;070 Shake",2021-10-22,200133,48,false,,1970-01-01T00:00:00Z,"","Iconoclast Music",0.639,0.62,2,-7.054,1,0.0291,0.408,0.0000413,0.257,0.186,106.512,3
spotify:track:3Fra5SMXXDTSRXVoDf8Xwd,"GIRLS","THE FIRST TIME (DELUXE VERSION)","The Kid LAROI",2024-08-09,152979,65,true,,1970-01-01T00:00:00Z,"","Columbia",0.731,0.734,7,-3.145,0,0.0515,0.0382,0.00000167,0.353,0.797,101.008,4
spotify:track:4SNPg0KDZ859vauVTaNg7i,"HOW DOES IT FEEL?","HOW DOES IT FEEL?","The Kid LAROI",2025-06-20,137689,61,false,,1970-01-01T00:00:00Z,"","Columbia",0.717,0.608,7,-5.311,1,0.167,0.0179,0,0.0333,0.72,102.882,4
spotify:track:0iO2iCAjtX0t5duvczNQt6,"Oscar Winning Tears.","My 21st Century Blues","RAYE",2023-02-03,183653,77,true,,1970-01-01T00:00:00Z,"","Human Re Sources",0.522,0.42,5,-6.805,0,0.0997,0.448,0,0.137,0.326,141.693,3
spotify:track:6NMtzpDQBTOfJwMzgMX0zl,"SKELETONS","ASTROWORLD","Travis Scott",2018-08-03,145588,75,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.46,0.686,0,-5.948,0,0.0367,0.00146,0,0.375,0.252,148.054,4
